path,diataxis_type
docs/source/user-guide/ecosystem.md,explanation
docs/source/user-guide/getting-started.md,tutorial
docs/source/user-guide/installation.md,explanation
docs/source/user-guide/gpu-support.md,explanation
docs/source/user-guide/misc/comparison.md,explanation
docs/source/user-guide/misc/polars_llms.md,explanation
docs/source/user-guide/misc/multiprocessing.md,explanation
docs/source/user-guide/misc/arrow.md,explanation
docs/source/user-guide/misc/styling.md,explanation
docs/source/user-guide/misc/visualization.md,explanation
docs/source/user-guide/transformations/pivot.md,reference
docs/source/user-guide/transformations/concatenation.md,explanation
docs/source/user-guide/transformations/index.md,explanation
docs/source/user-guide/transformations/unpivot.md,explanation
docs/source/user-guide/transformations/joins.md,explanation
docs/source/user-guide/plugins/index.md,explanation
docs/source/user-guide/plugins/expr_plugins.md,explanation
docs/source/user-guide/plugins/io_plugins.md,explanation
docs/source/user-guide/io/csv.md,explanation
docs/source/user-guide/io/hive.md,explanation
docs/source/user-guide/io/json.md,explanation
docs/source/user-guide/io/parquet.md,explanation
docs/source/user-guide/io/sheets_colab.md,explanation
docs/source/user-guide/io/index.md,explanation
docs/source/user-guide/io/cloud-storage.md,explanation
docs/source/user-guide/io/bigquery.md,explanation
docs/source/user-guide/io/excel.md,explanation
docs/source/user-guide/io/hugging-face.md,explanation
docs/source/user-guide/io/multiple.md,explanation
docs/source/user-guide/io/database.md,explanation
docs/source/user-guide/concepts/streaming.md,explanation
docs/source/user-guide/concepts/lazy-api.md,explanation
docs/source/user-guide/concepts/index.md,explanation
docs/source/user-guide/concepts/data-types-and-structures.md,explanation
docs/source/user-guide/concepts/expressions-and-contexts.md,explanation
docs/source/user-guide/expressions/casting.md,explanation
docs/source/user-guide/expressions/structs.md,explanation
docs/source/user-guide/expressions/window-functions.md,explanation
docs/source/user-guide/expressions/strings.md,explanation
docs/source/user-guide/expressions/categorical-data-and-enums.md,explanation
docs/source/user-guide/expressions/numpy-functions.md,explanation
docs/source/user-guide/expressions/expression-expansion.md,explanation
docs/source/user-guide/expressions/missing-data.md,explanation
docs/source/user-guide/expressions/aggregation.md,explanation
docs/source/user-guide/expressions/folds.md,explanation
docs/source/user-guide/expressions/index.md,explanation
docs/source/user-guide/expressions/basic-operations.md,explanation
docs/source/user-guide/expressions/user-defined-python-functions.md,explanation
docs/source/user-guide/expressions/lists-and-arrays.md,explanation
docs/source/user-guide/lazy/schemas.md,reference
docs/source/user-guide/lazy/gpu.md,explanation
docs/source/user-guide/lazy/multiplexing.md,explanation
docs/source/user-guide/lazy/query-plan.md,explanation
docs/source/user-guide/lazy/execution.md,explanation
docs/source/user-guide/lazy/index.md,explanation
docs/source/user-guide/lazy/datatype_exprs.md,explanation
docs/source/user-guide/lazy/sources_sinks.md,explanation
docs/source/user-guide/lazy/using.md,reference
docs/source/user-guide/lazy/optimizations.md,explanation
docs/source/user-guide/migration/spark.md,explanation
docs/source/user-guide/migration/pandas.md,explanation
docs/source/user-guide/sql/cte.md,explanation
docs/source/user-guide/sql/intro.md,explanation
docs/source/user-guide/sql/select.md,explanation
docs/source/user-guide/sql/create.md,explanation
docs/source/user-guide/sql/show.md,explanation
docs/source/user-guide/transformations/time-series/filter.md,explanation
docs/source/user-guide/transformations/time-series/timezones.md,explanation
docs/source/user-guide/transformations/time-series/parsing.md,explanation
docs/source/user-guide/transformations/time-series/resampling.md,explanation
docs/source/user-guide/transformations/time-series/rolling.md,explanation
